# resource_name	semantic_role	day_reference	night_reference
m3_sys_color_dynamic_dark_on_secondary	fixed-dark-on_secondary	@android:color/system_accent2_800	@android:color/system_accent2_800
m3_sys_color_dynamic_dark_on_secondary_container	fixed-dark-on_secondary_container	@android:color/system_accent2_100	@android:color/system_accent2_100
m3_sys_color_dynamic_dark_on_surface	fixed-dark-on_surface	@android:color/system_neutral1_100	@android:color/system_neutral1_100
m3_sys_color_dynamic_dark_on_surface_variant	fixed-dark-on_surface_variant	@android:color/system_neutral2_200	@android:color/system_neutral2_200
m3_sys_color_dynamic_dark_on_tertiary	fixed-dark-on_tertiary	@android:color/system_accent3_800	@android:color/system_accent3_800
m3_sys_color_dynamic_dark_on_tertiary_container	fixed-dark-on_tertiary_container	@android:color/system_accent3_100	@android:color/system_accent3_100
m3_sys_color_dynamic_dark_outline	fixed-dark-outline	@android:color/system_neutral2_400	@android:color/system_neutral2_400
m3_sys_color_dynamic_dark_outline_variant	fixed-dark-outline_variant	@android:color/system_neutral2_700	@android:color/system_neutral2_700
m3_sys_color_dynamic_dark_primary	fixed-dark-primary	@android:color/system_accent1_200	@android:color/system_accent1_200
m3_sys_color_dynamic_dark_primary_container	fixed-dark-primary_container	@android:color/system_accent1_700	@android:color/system_accent1_700
m3_sys_color_dynamic_dark_secondary	fixed-dark-secondary	@android:color/system_accent2_200	@android:color/system_accent2_200
m3_sys_color_dynamic_dark_secondary_container	fixed-dark-secondary_container	@android:color/system_accent2_700	@android:color/system_accent2_700
m3_sys_color_dynamic_dark_surface	fixed-dark-surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_sys_color_dynamic_dark_surface_bright	fixed-dark-surface_bright	@android:color/system_neutral1_700	@android:color/system_neutral1_700
m3_sys_color_dynamic_dark_surface_container	fixed-dark-surface_container	@android:color/system_neutral1_800	@android:color/system_neutral1_800
m3_sys_color_dynamic_dark_surface_container_high	fixed-dark-surface_high	@android:color/system_neutral1_700	@android:color/system_neutral1_700
m3_sys_color_dynamic_dark_surface_container_highest	fixed-dark-surface_highest	@android:color/system_neutral1_600	@android:color/system_neutral1_600
m3_sys_color_dynamic_dark_surface_container_low	fixed-dark-surface_low	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_sys_color_dynamic_dark_surface_container_lowest	fixed-dark-surface_lowest	@android:color/system_neutral1_1000	@android:color/system_neutral1_1000
m3_sys_color_dynamic_dark_surface_dim	fixed-dark-surface_dim	@android:color/system_neutral1_1000	@android:color/system_neutral1_1000
m3_sys_color_dynamic_dark_surface_variant	fixed-dark-surface_variant	@android:color/system_neutral2_800	@android:color/system_neutral2_800
m3_sys_color_dynamic_dark_tertiary	fixed-dark-tertiary	@android:color/system_accent3_200	@android:color/system_accent3_200
m3_sys_color_dynamic_dark_tertiary_container	fixed-dark-tertiary_container	@android:color/system_accent3_700	@android:color/system_accent3_700
m3_sys_color_dynamic_light_background	fixed-light-background	@android:color/system_neutral1_10	@android:color/system_neutral1_10
m3_sys_color_dynamic_light_inverse_on_surface	fixed-light-inverse_on_surface	@android:color/system_neutral1_100	@android:color/system_neutral1_100
m3_sys_color_dynamic_light_inverse_primary	fixed-light-inverse_primary	@android:color/system_accent1_200	@android:color/system_accent1_200
m3_sys_color_dynamic_light_inverse_surface	fixed-light-inverse_surface	@android:color/system_neutral1_800	@android:color/system_neutral1_800
m3_sys_color_dynamic_light_on_background	fixed-light-on_background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_sys_color_dynamic_light_on_primary	fixed-light-on_primary	@android:color/system_accent1_0	@android:color/system_accent1_0
m3_sys_color_dynamic_light_on_primary_container	fixed-light-on_primary_container	@android:color/system_accent1_700	@android:color/system_accent1_700
m3_sys_color_dynamic_light_on_secondary	fixed-light-on_secondary	@android:color/system_accent2_0	@android:color/system_accent2_0
m3_sys_color_dynamic_light_on_secondary_container	fixed-light-on_secondary_container	@android:color/system_accent2_700	@android:color/system_accent2_700
m3_sys_color_dynamic_light_on_surface	fixed-light-on_surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_sys_color_dynamic_light_on_surface_variant	fixed-light-on_surface_variant	@android:color/system_neutral2_700	@android:color/system_neutral2_700
m3_sys_color_dynamic_light_on_tertiary	fixed-light-on_tertiary	@android:color/system_accent3_0	@android:color/system_accent3_0
m3_sys_color_dynamic_light_on_tertiary_container	fixed-light-on_tertiary_container	@android:color/system_accent3_700	@android:color/system_accent3_700
m3_sys_color_dynamic_light_outline	fixed-light-outline	@android:color/system_neutral2_500	@android:color/system_neutral2_500
m3_sys_color_dynamic_light_outline_variant	fixed-light-outline_variant	@android:color/system_neutral2_200	@android:color/system_neutral2_200
m3_sys_color_dynamic_light_primary	fixed-light-primary	@android:color/system_accent1_600	@android:color/system_accent1_600
m3_sys_color_dynamic_light_primary_container	fixed-light-primary_container	@android:color/system_accent1_100	@android:color/system_accent1_100
m3_sys_color_dynamic_light_secondary	fixed-light-secondary	@android:color/system_accent2_600	@android:color/system_accent2_600
m3_sys_color_dynamic_light_secondary_container	fixed-light-secondary_container	@android:color/system_accent2_100	@android:color/system_accent2_100
m3_sys_color_dynamic_light_surface	fixed-light-surface	@android:color/system_neutral1_10	@android:color/system_neutral1_10
m3_sys_color_dynamic_light_surface_bright	fixed-light-surface_bright	@android:color/system_neutral1_0	@android:color/system_neutral1_0
m3_sys_color_dynamic_light_surface_container	fixed-light-surface_container	@android:color/system_neutral1_100	@android:color/system_neutral1_100
m3_sys_color_dynamic_light_surface_container_high	fixed-light-surface_high	@android:color/system_neutral1_200	@android:color/system_neutral1_200
m3_sys_color_dynamic_light_surface_container_highest	fixed-light-surface_highest	@android:color/system_neutral1_300	@android:color/system_neutral1_300
m3_sys_color_dynamic_light_surface_container_low	fixed-light-surface_low	@android:color/system_neutral1_50	@android:color/system_neutral1_50
m3_sys_color_dynamic_light_surface_container_lowest	fixed-light-surface_lowest	@android:color/system_neutral1_0	@android:color/system_neutral1_0
m3_sys_color_dynamic_light_surface_dim	fixed-light-surface_dim	@android:color/system_neutral1_200	@android:color/system_neutral1_200
m3_sys_color_dynamic_light_surface_variant	fixed-light-surface_variant	@android:color/system_neutral2_100	@android:color/system_neutral2_100
m3_sys_color_dynamic_light_tertiary	fixed-light-tertiary	@android:color/system_accent3_600	@android:color/system_accent3_600
m3_sys_color_dynamic_light_tertiary_container	fixed-light-tertiary_container	@android:color/system_accent3_100	@android:color/system_accent3_100
m3_sys_color_light_background	fixed-light-background	@android:color/system_neutral1_10	@android:color/system_neutral1_10
m3_sys_color_light_inverse_on_surface	fixed-light-inverse_on_surface	@android:color/system_neutral1_100	@android:color/system_neutral1_100
