# resource_name	semantic_role	day_reference	night_reference
m3_sys_color_dark_outline	fixed-dark-outline	@android:color/system_neutral2_400	@android:color/system_neutral2_400
m3_sys_color_dark_outline_variant	fixed-dark-outline_variant	@android:color/system_neutral2_700	@android:color/system_neutral2_700
m3_sys_color_dark_primary	fixed-dark-primary	@android:color/system_accent1_200	@android:color/system_accent1_200
m3_sys_color_dark_primary_container	fixed-dark-primary_container	@android:color/system_accent1_700	@android:color/system_accent1_700
m3_sys_color_dark_secondary	fixed-dark-secondary	@android:color/system_accent2_200	@android:color/system_accent2_200
m3_sys_color_dark_secondary_container	fixed-dark-secondary_container	@android:color/system_accent2_700	@android:color/system_accent2_700
m3_sys_color_dark_surface	fixed-dark-surface	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_sys_color_dark_surface_bright	fixed-dark-surface_bright	@android:color/system_neutral1_700	@android:color/system_neutral1_700
m3_sys_color_dark_surface_container	fixed-dark-surface_container	@android:color/system_neutral1_800	@android:color/system_neutral1_800
m3_sys_color_dark_surface_container_high	fixed-dark-surface_high	@android:color/system_neutral1_700	@android:color/system_neutral1_700
m3_sys_color_dark_surface_container_highest	fixed-dark-surface_highest	@android:color/system_neutral1_600	@android:color/system_neutral1_600
m3_sys_color_dark_surface_container_low	fixed-dark-surface_low	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_sys_color_dark_surface_container_lowest	fixed-dark-surface_lowest	@android:color/system_neutral1_1000	@android:color/system_neutral1_1000
m3_sys_color_dark_surface_dim	fixed-dark-surface_dim	@android:color/system_neutral1_1000	@android:color/system_neutral1_1000
m3_sys_color_dark_surface_variant	fixed-dark-surface_variant	@android:color/system_neutral2_800	@android:color/system_neutral2_800
m3_sys_color_dark_tertiary	fixed-dark-tertiary	@android:color/system_accent3_200	@android:color/system_accent3_200
m3_sys_color_dark_tertiary_container	fixed-dark-tertiary_container	@android:color/system_accent3_700	@android:color/system_accent3_700
m3_sys_color_dynamic_dark_background	fixed-dark-background	@android:color/system_neutral1_900	@android:color/system_neutral1_900
m3_sys_color_dynamic_dark_inverse_on_surface	fixed-dark-inverse_on_surface	@android:color/system_neutral1_800	@android:color/system_neutral1_800
m3_sys_color_dynamic_dark_inverse_primary	fixed-dark-inverse_primary	@android:color/system_accent1_600	@android:color/system_accent1_600
m3_sys_color_dynamic_dark_inverse_surface	fixed-dark-inverse_surface	@android:color/system_neutral1_100	@android:color/system_neutral1_100
m3_sys_color_dynamic_dark_on_background	fixed-dark-on_background	@android:color/system_neutral1_100	@android:color/system_neutral1_100
m3_sys_color_dynamic_dark_on_primary	fixed-dark-on_primary	@android:color/system_accent1_800	@android:color/system_accent1_800
m3_sys_color_dynamic_dark_on_primary_container	fixed-dark-on_primary_container	@android:color/system_accent1_100	@android:color/system_accent1_100
